raw	slope	new
9040.193	1598.48	7441.713
9046.775	1618.461	7428.314
9011.11	1638.442	7372.668
8998.594	1658.423	7340.171
8977.94	1678.404	7299.536
8988.57	1698.385	7290.185
8976.402	1718.366	7258.036
8970.684	1738.347	7232.336
8953.009	1758.328	7194.681
8973.645	1778.309	7195.335
8956.063	1798.29	7157.772
8939.362	1818.271	7121.091
8910.093	1838.252	7071.841
9016.671	1858.233	7158.438
8935.385	1878.214	7057.171
8974.172	1898.195	7075.977
8967.021	1918.176	7048.845
9065.223	1938.157	7127.065
9035.98	1958.138	7077.842
9006.738	1978.119	7028.619
8978.155	1998.1	6980.055
8997.372	2018.081	6979.291
8990.495	2038.062	6952.433
9026.817	2058.043	6968.774
9051.621	2078.024	6973.597
9104.106	2098.005	7006.102
9047.278	2117.986	6929.292
9045.894	2137.967	6907.927
9052.245	2157.948	6894.297
9056.44	2177.929	6878.511
9067.944	2197.91	6870.034
9058.593	2217.891	6840.702
9071.046	2237.872	6833.174
9051.918	2257.853	6794.065
9100.79	2277.834	6822.956
9107.512	2297.815	6809.696
9131.888	2317.796	6814.092
9124.322	2337.777	6786.545
9145.998	2357.758	6788.24
9166.095	2377.739	6788.355
9170.117	2397.72	6772.397
9245.668	2417.701	6827.967
9194.806	2437.682	6757.124
9192.433	2457.663	6734.77
9230.602	2477.644	6752.958
9280.994	2497.625	6783.369
9228.913	2517.606	6711.307
9232.507	2537.587	6694.92
9229.069	2557.568	6671.501
9238.071	2577.549	6660.522
9275.502	2597.53	6677.972
9236.144	2617.511	6618.632
9196.784	2637.492	6559.292
9256.633	2657.473	6599.16
9228.172	2677.454	6550.718
9203.282	2697.435	6505.847
9256.993	2717.416	6539.577
9245.163	2737.397	6507.766
9280.682	2757.378	6523.304
9327.149	2777.359	6549.79
9309.716	2797.34	6512.376
9268.104	2817.321	6450.783
9361.901	2837.302	6524.599
9348.372	2857.283	6491.089
9369.361	2877.264	6492.097
9320.327	2897.245	6423.082
9348.297	2917.226	6431.071
9407.381	2937.207	6470.174
9393.099	2957.188	6435.91
9393.764	2977.169	6416.595
9394.431	2997.15	6397.28
9422.625	3017.131	6405.494
9409.561	3037.112	6372.448
9394.078	3057.093	6336.985
9401.143	3077.074	6324.068
9395.609	3097.055	6298.554
9476.604	3117.036	6359.567
9501.323	3137.017	6364.306
9534.258	3156.998	6377.26
9480.12	3176.979	6303.141
9432.347	3196.96	6235.387
9538.864	3216.941	6321.923
9479.925	3236.922	6243.003
9511.062	3256.903	6254.158
9548.366	3276.884	6271.482
9587.728	3296.865	6290.862
9575.16	3316.846	6258.314
9572.034	3336.827	6235.207
9568.91	3356.808	6212.102
9554.641	3376.789	6177.852
9596.702	3396.77	6199.932
9558.955	3416.751	6142.204
9672.622	3436.732	6235.89
9592.579	3456.713	6135.866
9598.797	3476.694	6122.103
9688.387	3496.675	6191.712
9712.035	3516.656	6195.379
9686.378	3536.637	6149.741
9712.035	3556.618	6155.417
9712.035	3576.599	6135.436
